ID,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
62558,1,김준태,LG,1.000,2,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1.000,1.000,2.000,0,0.0,1.0,0,0,0,-,0,-,3.00,0.000,0.8,0.7
54166,2,김현종,LG,0.400,10,6,5,3,2,1,0,0,3,0,0,0,1,0,0,1,1,0.600,0.500,1.100,0,0.0,0.5,1,2,0,-,0,1.00,2.83,0.200,0.9,0.375
65207,3,신민재,LG,0.313,135,538,463,87,145,15,7,1,177,61,6,4,62,0,3,57,7,0.382,0.395,0.777,37,0.407,0.5,23,191,74,2.58,4,1.09,3.89,0.069,72.5,0.273
53123,4,오스틴,LG,0.313,116,499,425,82,133,25,1,31,253,95,0,11,61,7,2,62,11,0.595,0.393,0.988,38,0.292,0.0,57,74,167,0.44,11,0.98,3.79,0.282,96.2,0.326
68119,5,문성주,LG,0.305,135,542,475,57,145,20,2,3,178,70,0,9,54,0,4,59,10,0.375,0.375,0.750,43,0.321,0.167,25,166,114,1.46,10,0.92,3.77,0.069,69.7,0.263
76290,6,김현수,LG,0.298,140,552,483,66,144,24,0,12,204,90,0,1,64,1,4,73,10,0.422,0.384,0.806,36,0.362,0.4,36,147,120,1.23,15,0.88,3.89,0.124,77.9,0.278
66108,7,홍창기,LG,0.287,51,215,174,32,50,4,0,1,57,16,2,4,29,0,6,40,4,0.328,0.399,0.727,11,0.146,0.667,5,59,29,2.03,1,0.73,4.32,0.040,27.9,0.262
69100,8,구본혁,LG,0.286,131,397,343,41,98,16,2,1,121,38,12,0,36,1,6,44,4,0.353,0.364,0.717,26,0.299,0.333,19,100,101,0.99,2,0.82,3.80,0.067,45.5,0.252
52103,9,최원영,LG,0.282,119,115,103,37,29,5,0,0,34,2,3,1,4,0,4,20,4,0.330,0.330,0.660,2,0.174,0.667,5,30,25,1.20,0,0.20,3.55,0.049,10.7,0.231
62415,10,박해민,LG,0.276,144,544,442,80,122,18,2,3,153,43,22,4,68,0,8,94,7,0.346,0.379,0.725,29,0.231,0.0,23,100,130,0.77,3,0.72,3.96,0.070,69.3,0.257
69102,11,문보경,LG,0.276,141,607,515,91,142,21,1,24,237,108,0,9,79,3,4,108,15,0.460,0.371,0.831,38,0.274,0.333,46,162,112,1.45,13,0.73,4.13,0.184,90.2,0.282
55164,12,박관우,LG,0.264,39,58,53,12,14,2,0,2,22,13,0,1,3,0,1,11,1,0.415,0.310,0.725,0,0.294,0.368,4,13,16,0.81,0,0.27,3.50,0.151,7.1,0.243
79109,13,오지환,LG,0.253,127,472,419,57,106,24,1,16,180,62,7,6,37,0,3,115,4,0.430,0.314,0.744,27,0.283,0.333,41,90,114,0.79,6,0.32,4.19,0.177,58.8,0.249
79365,14,박동원,LG,0.253,139,523,451,57,114,25,0,22,205,76,3,5,62,4,2,124,10,0.455,0.342,0.797,27,0.235,0.143,47,110,108,1.02,8,0.50,3.89,0.202,72.2,0.268
50054,15,천성호,LG,0.237,83,199,173,24,41,9,2,1,57,17,4,0,17,0,5,29,2,0.329,0.323,0.652,8,0.25,0.154,12,58,45,1.29,3,0.59,3.67,0.092,19.5,0.228
52154,16,이주헌,LG,0.219,76,156,128,22,28,3,0,4,43,9,2,0,18,0,8,30,2,0.336,0.351,0.687,5,0.111,0.25,7,31,39,0.79,1,0.60,3.78,0.117,17.4,0.242
68110,17,송찬의,LG,0.211,66,166,147,18,31,9,1,3,51,20,1,1,9,0,8,49,4,0.347,0.291,0.638,7,0.237,0.273,13,29,39,0.74,3,0.18,3.90,0.136,14.4,0.218
51100,18,이영빈,LG,0.208,44,75,72,12,15,1,1,3,27,9,1,1,1,0,0,35,1,0.375,0.216,0.591,1,0.238,0.0,5,9,14,0.64,0,0.03,4.45,0.167,6.2,0.191
52105,19,김성우,LG,0.200,7,5,5,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0.200,0.200,0.400,0,0.333,0.0,0,2,1,2.00,0,0.00,2.80,0.000,0.1,0.14
66162,19,김주성,LG,0.200,16,17,15,3,3,0,0,1,6,1,0,0,1,0,1,2,0,0.400,0.294,0.694,0,0.0,0.25,1,4,6,0.67,0,0.50,3.94,0.200,1.4,0.232
54156,19,손용준,LG,0.200,9,16,15,3,3,0,0,0,3,1,0,0,0,0,1,5,2,0.200,0.250,0.450,0,0.25,0.0,0,7,0,-,1,0.00,3.19,0.000,0.2,0.163
50108,22,함창건,LG,0.188,15,36,32,2,6,2,0,0,8,2,0,1,3,0,0,9,1,0.250,0.250,0.500,1,0.1,0.2,2,6,12,0.50,0,0.33,3.75,0.063,2.0,0.175
67504,23,김민수,LG,0.182,13,13,11,0,2,0,0,0,2,1,0,1,1,0,0,6,0,0.182,0.231,0.413,0,0.0,0.0,0,1,3,0.33,0,0.17,4.46,0.000,1.0,0.149
52121,24,문정빈,LG,0.167,21,33,30,5,5,0,0,2,11,4,0,0,1,0,2,11,0,0.367,0.242,0.609,1,0.1,0.333,2,7,7,1.00,0,0.09,3.88,0.200,3.1,0.201
55167,25,김영우,LG,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,0,0,0,-,0,-,-,-,0.0,0.0
75867,25,김진성,LG,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,0,0,0,-,0,-,-,-,0.0,0.0
51154,25,김진수,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,0,0,0,-,0,-,-,-,0.0,0.0
53139,25,박명근,LG,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,0,0,0,-,0,-,-,-,0.0,0.0
