순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,BABIP,P/G,P/IP,K/9,BB/9,K/BB,OBP,SLG,OPS
1,이종준,LG,0.0,2,0,0,0,0,-,1 2/3,0,0,1,0,2,0,0,0.6,0,0,0,0,6,33,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,-,0.0,16.5,19.8,10.8,5.4,2.00,0.167,0.0,0.167
2,김강률,LG,1.46,12,1,0,1,4,1.000,12 1/3,7,0,8,1,9,2,2,1.22,0,0,0,0,51,182,0.167,1,0,0,0,0,0,0,0,0,1,4,4,0,2,16,10,1.60,0.212,15.2,14.8,6.57,5.84,1.13,0.314,0.19,0.504
3,이우찬,LG,1.89,23,0,1,0,0,0.000,19,13,0,14,1,20,6,4,1.42,0,0,0,0,86,338,0.186,2,0,1,0,0,3,0,0,0,0,6,4,0,0,18,19,0.95,0.26,14.7,17.8,9.47,6.63,1.43,0.329,0.214,0.543
4,김영우,LG,2.4,66,3,2,1,7,0.600,60,49,2,30,3,56,17,16,1.32,0,0,0,3,255,957,0.228,13,0,5,2,2,5,0,0,0,3,11,14,0,6,53,59,0.90,0.296,14.5,16.0,8.4,4.5,1.87,0.328,0.316,0.644
5,유영찬,LG,2.63,39,2,2,21,1,0.500,41,31,2,23,3,52,14,12,1.32,0,0,0,1,177,672,0.208,7,0,1,1,3,3,0,0,0,2,35,23,7,3,37,30,1.23,0.302,17.2,16.4,11.41,5.05,2.26,0.324,0.295,0.619
6,톨허스트,LG,2.86,8,6,2,0,0,0.750,44,39,2,16,2,45,15,14,1.25,0,0,5,0,184,713,0.238,7,1,1,1,1,1,0,8,6,0,0,0,0,4,43,38,1.13,0.314,89.1,16.2,9.2,3.27,2.81,0.311,0.329,0.64
7,임찬규,LG,3.03,27,11,7,0,0,0.611,160 1/3,163,9,40,6,107,61,54,1.27,1,1,15,0,670,2490,0.265,38,3,5,4,1,1,0,27,11,0,1,0,0,19,175,174,1.01,0.306,92.2,15.5,6.01,2.25,2.68,0.314,0.38,0.694
8,치리노스,LG,3.31,30,13,6,0,0,0.684,177,173,5,36,9,137,71,65,1.18,0,0,17,0,737,2809,0.253,26,1,8,1,0,4,0,30,13,0,0,0,0,11,251,123,2.04,0.31,93.6,15.9,6.97,1.83,3.81,0.299,0.316,0.615
9,손주영,LG,3.41,30,11,6,0,0,0.647,153,153,8,49,4,132,67,58,1.32,0,0,14,0,644,2496,0.262,20,2,5,3,0,6,0,27,11,0,0,0,0,23,187,114,1.64,0.325,83.2,16.3,7.76,2.88,2.69,0.322,0.345,0.667
10,김진성,LG,3.44,78,6,4,1,33,0.600,70 2/3,61,7,24,0,63,28,27,1.2,0,0,0,7,291,1235,0.236,7,3,2,7,1,1,0,0,0,6,2,35,0,3,51,90,0.57,0.277,15.8,17.5,8.02,3.06,2.63,0.294,0.368,0.662
